2025-04-16 19:25:50,641 | trial0_schema1_db    | INFO     | Logging to /home/evangebo/Repositories/cse584/data/experiments/partition_baseline (2025-04-16 19:17:36)/trial0_schema1_db.log
2025-04-16 19:27:18,463 | trial0_schema1_db    | INFO     | Loaded dataset: Dataset(name="sift", num_base_vecs=5,000,000, num_query_vecs=0, d=128, datatype=FLOAT32)
2025-04-16 19:27:18,464 | trial0_schema1_db    | INFO     | Using range partitioner with partitions: {'0_9': {'w': Range(start=0, end=9)}, '10_19': {'w': Range(start=10, end=19)}, '20_29': {'w': Range(start=20, end=29)}, '30_39': {'w': Range(start=30, end=39)}, '40_49': {'w': Range(start=40, end=49)}, '50_59': {'w': Range(start=50, end=59)}, '60_69': {'w': Range(start=60, end=69)}, '70_79': {'w': Range(start=70, end=79)}, '80_89': {'w': Range(start=80, end=89)}, '90_99': {'w': Range(start=90, end=99)}, '100_109': {'w': Range(start=100, end=109)}, '110_119': {'w': Range(start=110, end=119)}, '120_129': {'w': Range(start=120, end=129)}, '130_139': {'w': Range(start=130, end=139)}, '140_149': {'w': Range(start=140, end=149)}, '150_159': {'w': Range(start=150, end=159)}, '160_169': {'w': Range(start=160, end=169)}, '170_179': {'w': Range(start=170, end=179)}, '180_189': {'w': Range(start=180, end=189)}, '190_199': {'w': Range(start=190, end=199)}, '200_209': {'w': Range(start=200, end=209)}, '210_219': {'w': Range(start=210, end=219)}, '220_229': {'w': Range(start=220, end=229)}, '230_239': {'w': Range(start=230, end=239)}, '240_249': {'w': Range(start=240, end=249)}, '250_259': {'w': Range(start=250, end=259)}, '260_269': {'w': Range(start=260, end=269)}, '270_279': {'w': Range(start=270, end=279)}, '280_289': {'w': Range(start=280, end=289)}, '290_299': {'w': Range(start=290, end=299)}, '300_309': {'w': Range(start=300, end=309)}, '310_319': {'w': Range(start=310, end=319)}, '320_329': {'w': Range(start=320, end=329)}, '330_339': {'w': Range(start=330, end=339)}, '340_349': {'w': Range(start=340, end=349)}, '350_359': {'w': Range(start=350, end=359)}, '360_369': {'w': Range(start=360, end=369)}, '370_379': {'w': Range(start=370, end=379)}, '380_389': {'w': Range(start=380, end=389)}, '390_399': {'w': Range(start=390, end=399)}, '400_409': {'w': Range(start=400, end=409)}, '410_419': {'w': Range(start=410, end=419)}, '420_429': {'w': Range(start=420, end=429)}, '430_439': {'w': Range(start=430, end=439)}, '440_449': {'w': Range(start=440, end=449)}, '450_459': {'w': Range(start=450, end=459)}, '460_469': {'w': Range(start=460, end=469)}, '470_479': {'w': Range(start=470, end=479)}, '480_489': {'w': Range(start=480, end=489)}, '490_499': {'w': Range(start=490, end=499)}, '500_509': {'w': Range(start=500, end=509)}, '510_519': {'w': Range(start=510, end=519)}, '520_529': {'w': Range(start=520, end=529)}, '530_539': {'w': Range(start=530, end=539)}, '540_549': {'w': Range(start=540, end=549)}, '550_559': {'w': Range(start=550, end=559)}, '560_569': {'w': Range(start=560, end=569)}, '570_579': {'w': Range(start=570, end=579)}, '580_589': {'w': Range(start=580, end=589)}, '590_599': {'w': Range(start=590, end=599)}, '600_609': {'w': Range(start=600, end=609)}, '610_619': {'w': Range(start=610, end=619)}, '620_629': {'w': Range(start=620, end=629)}, '630_639': {'w': Range(start=630, end=639)}, '640_649': {'w': Range(start=640, end=649)}, '650_659': {'w': Range(start=650, end=659)}, '660_669': {'w': Range(start=660, end=669)}, '670_679': {'w': Range(start=670, end=679)}, '680_689': {'w': Range(start=680, end=689)}, '690_699': {'w': Range(start=690, end=699)}, '700_709': {'w': Range(start=700, end=709)}, '710_719': {'w': Range(start=710, end=719)}, '720_729': {'w': Range(start=720, end=729)}, '730_739': {'w': Range(start=730, end=739)}, '740_749': {'w': Range(start=740, end=749)}, '750_759': {'w': Range(start=750, end=759)}, '760_769': {'w': Range(start=760, end=769)}, '770_779': {'w': Range(start=770, end=779)}, '780_789': {'w': Range(start=780, end=789)}, '790_799': {'w': Range(start=790, end=799)}, '800_809': {'w': Range(start=800, end=809)}, '810_819': {'w': Range(start=810, end=819)}, '820_829': {'w': Range(start=820, end=829)}, '830_839': {'w': Range(start=830, end=839)}, '840_849': {'w': Range(start=840, end=849)}, '850_859': {'w': Range(start=850, end=859)}, '860_869': {'w': Range(start=860, end=869)}, '870_879': {'w': Range(start=870, end=879)}, '880_889': {'w': Range(start=880, end=889)}, '890_899': {'w': Range(start=890, end=899)}, '900_909': {'w': Range(start=900, end=909)}, '910_919': {'w': Range(start=910, end=919)}, '920_929': {'w': Range(start=920, end=929)}, '930_939': {'w': Range(start=930, end=939)}, '940_949': {'w': Range(start=940, end=949)}, '950_959': {'w': Range(start=950, end=959)}, '960_969': {'w': Range(start=960, end=969)}, '970_979': {'w': Range(start=970, end=979)}, '980_989': {'w': Range(start=980, end=989)}, '990_999': {'w': Range(start=990, end=999)}}
2025-04-16 19:29:13,435 | trial0_schema1_db.Creator | INFO     | Starting timer flush...
2025-04-16 19:29:21,493 | trial0_schema1_db.Creator | INFO     | Timer flush finished in 0:00:08.058057
2025-04-16 19:29:21,493 | trial0_schema1_db.Creator | INFO     | Starting timer indexing...
2025-04-16 19:32:41,049 | trial0_schema1_db.Creator | INFO     | Timer indexing finished in 0:03:19.556017
2025-04-16 19:32:41,049 | trial0_schema1_db.Creator | INFO     | Starting timer loading...
2025-04-16 19:32:42,892 | trial0_schema1_db.Creator | INFO     | Timer loading finished in 0:00:01.842680
2025-04-16 19:32:42,892 | trial0_schema1_db.Creator | INFO     | Starting timer flushing...
2025-04-16 19:32:43,896 | trial0_schema1_db.Creator | INFO     | Timer flushing finished in 0:00:01.003353
