2025-04-04 02:06:01,373 | trial0_schema4_db    | INFO     | Logging to /home/evangebo/Repositories/cse584/data/experiments/baseline (2025-04-04 00:28:21)/trial0_schema4_db.log
2025-04-04 02:06:16,521 | trial0_schema4_db    | INFO     | Loaded dataset: Dataset(name="sift", num_base_vecs=5,000,000, num_query_vecs=0, d=128, datatype=FLOAT32)
2025-04-04 02:06:16,521 | trial0_schema4_db    | INFO     | Using range partitioner with partitions: [(0, 99), (100, 199), (200, 299), (300, 399), (400, 499), (500, 599), (600, 699), (700, 799), (800, 899), (900, 999)]
2025-04-04 02:07:01,856 | trial0_schema4_db.Creator | INFO     | Starting timer flush...
2025-04-04 02:07:04,877 | trial0_schema4_db.Creator | INFO     | Timer flush finished in 0:00:03.020863
2025-04-04 02:07:04,877 | trial0_schema4_db.Creator | INFO     | Starting timer indexing...
2025-04-04 02:12:47,202 | trial0_schema4_db.Creator | INFO     | Timer indexing finished in 0:05:42.324879
2025-04-04 02:12:47,202 | trial0_schema4_db.Creator | INFO     | Starting timer loading...
2025-04-04 02:12:49,631 | trial0_schema4_db.Creator | INFO     | Timer loading finished in 0:00:02.429400
2025-04-04 02:12:49,631 | trial0_schema4_db.Creator | INFO     | Starting timer flushing...
2025-04-04 02:12:50,135 | trial0_schema4_db.Creator | INFO     | Timer flushing finished in 0:00:00.503820
2025-04-04 02:12:50,143 | trial0_schema4_db.Creator | DEBUG    | Partition states: [{'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}]
