2025-04-04 03:52:31,386 | trial0_schema10_db   | INFO     | Logging to /home/evangebo/Repositories/cse584/data/experiments/baseline (2025-04-04 00:28:21)/trial0_schema10_db.log
2025-04-04 03:52:46,530 | trial0_schema10_db   | INFO     | Loaded dataset: Dataset(name="sift", num_base_vecs=5,000,000, num_query_vecs=0, d=128, datatype=FLOAT32)
2025-04-04 03:52:46,530 | trial0_schema10_db   | INFO     | Using range partitioner with partitions: [(0, 99), (100, 199), (200, 299), (300, 399), (400, 499), (500, 599), (600, 699), (700, 799), (800, 899), (900, 999)]
2025-04-04 03:53:32,611 | trial0_schema10_db.Creator | INFO     | Starting timer flush...
2025-04-04 03:53:35,630 | trial0_schema10_db.Creator | INFO     | Timer flush finished in 0:00:03.018478
2025-04-04 03:53:35,630 | trial0_schema10_db.Creator | INFO     | Starting timer indexing...
2025-04-04 03:54:35,304 | trial0_schema10_db.Creator | INFO     | Timer indexing finished in 0:00:59.674424
2025-04-04 03:54:35,304 | trial0_schema10_db.Creator | INFO     | Starting timer loading...
2025-04-04 03:54:37,125 | trial0_schema10_db.Creator | INFO     | Timer loading finished in 0:00:01.821073
2025-04-04 03:54:37,125 | trial0_schema10_db.Creator | INFO     | Starting timer flushing...
2025-04-04 03:54:37,630 | trial0_schema10_db.Creator | INFO     | Timer flushing finished in 0:00:00.504027
2025-04-04 03:54:37,637 | trial0_schema10_db.Creator | DEBUG    | Partition states: [{'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}]
