2025-04-04 11:39:34,644 | trial2_schema10_db   | INFO     | Logging to /home/evangebo/Repositories/cse584/data/experiments/baseline (2025-04-04 00:28:21)/trial2_schema10_db.log
2025-04-04 11:39:49,791 | trial2_schema10_db   | INFO     | Loaded dataset: Dataset(name="sift", num_base_vecs=5,000,000, num_query_vecs=0, d=128, datatype=FLOAT32)
2025-04-04 11:39:49,791 | trial2_schema10_db   | INFO     | Using range partitioner with partitions: [(0, 99), (100, 199), (200, 299), (300, 399), (400, 499), (500, 599), (600, 699), (700, 799), (800, 899), (900, 999)]
2025-04-04 11:40:36,805 | trial2_schema10_db.Creator | INFO     | Starting timer flush...
2025-04-04 11:40:39,823 | trial2_schema10_db.Creator | INFO     | Timer flush finished in 0:00:03.017981
2025-04-04 11:40:39,823 | trial2_schema10_db.Creator | INFO     | Starting timer indexing...
2025-04-04 11:41:39,515 | trial2_schema10_db.Creator | INFO     | Timer indexing finished in 0:00:59.691445
2025-04-04 11:41:39,515 | trial2_schema10_db.Creator | INFO     | Starting timer loading...
2025-04-04 11:41:41,339 | trial2_schema10_db.Creator | INFO     | Timer loading finished in 0:00:01.823766
2025-04-04 11:41:41,339 | trial2_schema10_db.Creator | INFO     | Starting timer flushing...
2025-04-04 11:41:41,842 | trial2_schema10_db.Creator | INFO     | Timer flushing finished in 0:00:00.503730
2025-04-04 11:41:41,849 | trial2_schema10_db.Creator | DEBUG    | Partition states: [{'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}, {'state': <LoadState: Loaded>}]
